SKUCode,SourceLocationCode,DestLocationCode,LeadTime,ReplenishmentCycle,MinLotSizes,ServiceLevel
SKU001,CDC01,RDC02,7,7,120,0.95
SKU001,CDC01,RDC05,7,7,240,0.95
SKU001,CDC02,RDC10,7,14,60,0.95
SKU002,CDC02,RDC09,7,7,60,0.95
SKU002,CDC01,RDC04,7,14,120,0.95
SKU002,CDC02,RDC10,7,14,60,0.95
SKU002,CDC01,RDC02,7,7,60,0.95
SKU002,CDC02,RDC06,7,7,60,0.95
SKU003,CDC02,RDC07,7,7,240,0.95
SKU003,CDC01,RDC05,7,14,60,0.95
SKU003,CDC02,RDC09,7,7,240,0.95
SKU003,CDC01,RDC03,7,7,240,0.95
SKU004,CDC01,RDC03,7,14,120,0.95
SKU004,CDC01,RDC04,7,14,240,0.95
SKU005,CDC01,RDC02,7,7,240,0.95
SKU005,CDC02,RDC09,7,14,240,0.95
SKU005,CDC01,RDC01,7,7,60,0.95
SKU005,CDC01,RDC05,7,7,120,0.95
SKU005,CDC02,RDC06,7,14,240,0.95
SKU005,CDC02,RDC08,7,14,240,0.95
SKU006,CDC01,RDC03,7,7,120,0.95
SKU006,CDC02,RDC06,7,14,240,0.95
SKU006,CDC02,RDC10,7,14,240,0.95
SKU006,CDC01,RDC05,7,7,60,0.95
SKU007,CDC02,RDC07,7,7,240,0.95
SKU007,CDC02,RDC08,7,14,60,0.95
SKU007,CDC02,RDC10,7,14,60,0.95
SKU008,CDC01,RDC01,7,14,120,0.95
SKU008,CDC02,RDC10,7,14,120,0.95
SKU008,CDC02,RDC08,7,7,120,0.95
SKU008,CDC02,RDC06,7,7,240,0.95
SKU008,CDC01,RDC05,7,7,60,0.95
SKU009,CDC02,RDC10,7,7,120,0.95
SKU009,CDC01,RDC04,7,7,120,0.95
SKU009,CDC02,RDC08,7,14,120,0.95
SKU009,CDC01,RDC03,7,14,120,0.95
SKU009,CDC02,RDC09,7,14,240,0.95
SKU009,CDC01,RDC05,7,14,240,0.95
SKU009,CDC02,RDC07,7,7,240,0.95
SKU010,CDC01,RDC01,7,7,240,0.95
SKU010,CDC02,RDC10,7,14,60,0.95
SKU010,CDC01,RDC02,7,14,120,0.95
SKU010,CDC02,RDC08,7,14,240,0.95
SKU010,CDC02,RDC06,7,7,120,0.95
SKU011,CDC01,RDC03,7,14,60,0.95
SKU011,CDC01,RDC04,7,7,60,0.95
SKU012,CDC02,RDC09,7,14,60,0.95
SKU012,CDC01,RDC04,7,14,60,0.95
SKU012,CDC01,RDC05,7,14,240,0.95
SKU012,CDC01,RDC01,7,7,240,0.95
SKU013,CDC01,RDC01,7,14,240,0.95
SKU013,CDC01,RDC03,7,7,240,0.95
SKU013,CDC02,RDC08,7,14,120,0.95
SKU013,CDC02,RDC10,7,7,120,0.95
SKU013,CDC01,RDC04,7,14,240,0.95
SKU013,CDC02,RDC06,7,7,120,0.95
SKU014,CDC01,RDC03,7,7,240,0.95
SKU014,CDC02,RDC06,7,14,120,0.95
SKU015,CDC02,RDC07,7,7,60,0.95
SKU015,CDC02,RDC10,7,7,240,0.95
SKU015,CDC02,RDC09,7,14,120,0.95
SKU015,CDC02,RDC08,7,7,120,0.95
SKU015,CDC02,RDC06,7,14,60,0.95
SKU015,CDC01,RDC01,7,7,120,0.95
SKU015,CDC01,RDC05,7,7,240,0.95
SKU016,CDC01,RDC04,7,14,60,0.95
SKU016,CDC01,RDC01,7,14,60,0.95
SKU016,CDC02,RDC07,7,7,120,0.95
SKU016,CDC02,RDC08,7,14,120,0.95
SKU017,CDC02,RDC08,7,7,60,0.95
SKU017,CDC02,RDC06,7,7,240,0.95
SKU017,CDC02,RDC09,7,7,240,0.95
SKU017,CDC01,RDC02,7,7,120,0.95
SKU017,CDC02,RDC10,7,7,240,0.95
SKU017,CDC01,RDC03,7,14,240,0.95
SKU017,CDC01,RDC05,7,7,60,0.95
SKU018,CDC01,RDC04,7,7,240,0.95
SKU018,CDC02,RDC08,7,14,60,0.95
SKU019,CDC01,RDC02,7,14,120,0.95
SKU019,CDC02,RDC10,7,14,120,0.95
SKU019,CDC02,RDC08,7,14,240,0.95
SKU019,CDC02,RDC06,7,7,60,0.95
SKU019,CDC02,RDC09,7,14,240,0.95
SKU019,CDC01,RDC05,7,7,60,0.95
SKU019,CDC01,RDC03,7,7,240,0.95
SKU019,CDC01,RDC01,7,14,240,0.95
SKU020,CDC02,RDC10,7,7,240,0.95
SKU020,CDC02,RDC08,7,14,240,0.95
SKU020,CDC01,RDC02,7,7,240,0.95
SKU020,CDC01,RDC05,7,14,60,0.95
