Location,SKU,BaseStockLevel
CDC01,SKU001,9402.0
CDC01,SKU002,15247.0
CDC01,SKU003,12299.0
CDC01,SKU004,25901.0
CDC01,SKU005,13740.0
CDC01,SKU006,16200.0
CDC01,SKU008,12435.0
CDC01,SKU009,23167.0
CDC01,SKU010,29347.0
CDC01,SKU011,12313.0
CDC01,SKU012,29717.0
CDC01,SKU013,22061.0
CDC01,SKU014,10877.0
CDC01,SKU015,11977.0
CDC01,SKU016,13624.0
CDC01,SKU017,13413.0
CDC01,SKU018,13829.0
CDC01,SKU019,28718.0
CDC01,SKU020,25122.0
CDC01,SKU021,24798.0
CDC01,SKU022,14116.0
CDC01,SKU023,12274.0
CDC01,SKU024,22349.0
CDC01,SKU025,26961.0
CDC01,SKU026,15078.0
CDC01,SKU027,16874.0
CDC01,SKU028,19103.0
CDC01,SKU029,12416.0
CDC01,SKU030,26633.0
CDC01,SKU031,19020.0
CDC01,SKU032,20127.0
CDC01,SKU033,14430.0
CDC01,SKU034,13050.0
CDC01,SKU035,20848.0
CDC01,SKU036,24114.0
CDC01,SKU037,26787.0
CDC01,SKU038,30713.0
CDC01,SKU039,27983.0
CDC01,SKU040,18096.0
CDC01,SKU041,18565.0
CDC01,SKU042,15460.0
CDC01,SKU043,16904.0
CDC01,SKU044,21339.0
CDC01,SKU045,21618.0
CDC01,SKU047,24869.0
CDC01,SKU048,24975.0
CDC01,SKU050,21261.0
CDC01,SKU051,30662.0
CDC01,SKU052,23142.0
CDC01,SKU053,10311.0
CDC01,SKU054,28545.0
CDC01,SKU055,17457.0
CDC01,SKU056,9907.0
CDC01,SKU057,15579.0
CDC01,SKU058,17276.0
CDC01,SKU059,20009.0
CDC01,SKU060,14926.0
CDC01,SKU061,27737.0
CDC01,SKU062,19559.0
CDC01,SKU063,20225.0
CDC01,SKU064,20093.0
CDC01,SKU065,22571.0
CDC01,SKU067,21091.0
CDC01,SKU068,17914.0
CDC01,SKU069,20688.0
CDC01,SKU070,29879.0
CDC01,SKU071,24024.0
CDC01,SKU072,18715.0
CDC01,SKU073,16734.0
CDC01,SKU074,24612.0
CDC01,SKU075,16069.0
CDC01,SKU076,12570.0
CDC01,SKU077,28300.0
CDC01,SKU078,16741.0
CDC01,SKU079,18403.0
CDC01,SKU080,15520.0
CDC01,SKU081,30130.0
CDC01,SKU082,26748.0
CDC01,SKU083,12185.0
CDC01,SKU084,14877.0
CDC01,SKU085,15255.0
CDC01,SKU086,18996.0
CDC01,SKU087,18904.0
CDC01,SKU088,18428.0
CDC01,SKU089,27678.0
CDC01,SKU090,14532.0
CDC01,SKU091,14641.0
CDC01,SKU092,11487.0
CDC01,SKU093,13877.0
CDC01,SKU094,16282.0
CDC01,SKU095,32574.0
CDC01,SKU096,14181.0
CDC01,SKU097,15283.0
CDC01,SKU098,29743.0
CDC01,SKU099,22121.0
CDC01,SKU100,18826.0
CDC02,SKU001,26677.0
CDC02,SKU002,13182.0
CDC02,SKU003,18090.0
CDC02,SKU005,18440.0
CDC02,SKU006,13917.0
CDC02,SKU007,14630.0
CDC02,SKU008,19644.0
CDC02,SKU009,15018.0
CDC02,SKU010,30334.0
CDC02,SKU012,23984.0
CDC02,SKU013,14141.0
CDC02,SKU014,13586.0
CDC02,SKU015,29088.0
CDC02,SKU016,12364.0
CDC02,SKU017,24146.0
CDC02,SKU018,14011.0
CDC02,SKU019,28553.0
CDC02,SKU020,14866.0
CDC02,SKU021,17972.0
CDC02,SKU022,12953.0
CDC02,SKU023,23559.0
CDC02,SKU024,20806.0
CDC02,SKU025,13353.0
CDC02,SKU026,11956.0
CDC02,SKU027,14723.0
CDC02,SKU028,30889.0
CDC02,SKU030,21656.0
CDC02,SKU031,14071.0
CDC02,SKU032,19975.0
CDC02,SKU033,16517.0
CDC02,SKU034,31043.0
CDC02,SKU035,26263.0
CDC02,SKU036,17310.0
CDC02,SKU037,17661.0
CDC02,SKU038,11482.0
CDC02,SKU039,20586.0
CDC02,SKU040,22108.0
CDC02,SKU042,8381.0
CDC02,SKU043,17279.0
CDC02,SKU044,16444.0
CDC02,SKU045,25669.0
CDC02,SKU046,25993.0
CDC02,SKU048,9839.0
CDC02,SKU049,17483.0
CDC02,SKU051,12648.0
CDC02,SKU052,24289.0
CDC02,SKU053,13818.0
CDC02,SKU054,15855.0
CDC02,SKU056,13563.0
CDC02,SKU057,16476.0
CDC02,SKU058,13634.0
CDC02,SKU059,33191.0
CDC02,SKU060,16370.0
CDC02,SKU061,11458.0
CDC02,SKU062,22767.0
CDC02,SKU063,21724.0
CDC02,SKU064,18452.0
CDC02,SKU065,15070.0
CDC02,SKU066,16343.0
CDC02,SKU067,10572.0
