Location,SKU,BaseStockLevel
CDC01,SKU10,40740.0
CDC01,SKU17,57745.0
CDC01,SKU18,46924.0
CDC01,SKU24,218851.0
CDC01,SKU28,4722.0
CDC01,SKU29,32257.0
CDC01,SKU33,45023.0
CDC01,SKU34,6636.0
CDC01,SKU38,5310.0
CDC01,SKU39,1041.0
CDC01,SKU43,6709.0
CDC01,SKU44,48205.0
CDC01,SKU45,152577.0
CDC01,SKU47,11687.0
CDC01,SKU48,59407.0
CDC01,SKU49,9198.0
CDC01,SKU50,136269.0
CDC01,SKU51,27588.0
CDC01,SKU52,4861.0
CDC01,SKU57,4308.0
CDC01,SKU62,6219.0
CDC01,SKU63,1121.0
CDC01,SKU64,17812.0
CDC01,SKU65,264.0
CDC01,SKU67,55957.0
CDC01,SKU68,10705.0
CDC01,SKU69,166469.0
CDC01,SKU70,101357.0
CDC01,SKU72,4892.0
CDC01,SKU73,33208.0
CDC01,SKU76,36721.0
CDC01,SKU77,8076.0
IDCCN01,PM13,103.0
IDCCN01,PM14,7142.0
IDCCN01,PM142,82.0
IDCCN01,PM143,82.0
IDCCN01,PM144,1419.0
IDCCN01,PM145,1417.0
IDCCN01,PM153,16171.0
IDCCN01,PM157,4215.0
IDCCN01,PM160,82.0
IDCCN01,PM162,28.0
IDCCN01,PM163,760.0
IDCCN01,PM166,7142.0
IDCCN01,PM169,760.0
IDCCN01,PM170,3185.0
IDCCN01,PM172,12915.0
IDCCN01,PM177,3323.0
IDCCN01,PM178,859.0
IDCCN01,PM179,3181.0
IDCCN01,PM180,3714.0
IDCCN01,PM19,4826.0
IDCCN01,PM199,544.0
IDCCN01,PM21,102.0
IDCCN01,PM26,12915.0
IDCCN01,PM28,17262.0
IDCCN01,PM34,12856.0
IDCCN01,PM36,5791.0
IDCCN01,PM60,786.0
IDCCN01,PM61,786.0
IDCCN01,PM74,28.0
IDCCN01,PM76,758.0
IDCCN01,PM77,11281.0
IDCCN01,PM78,4212.0
IDCCN01,PM80,7160.0
IDCCN01,RM1,80198.0
IDCCN01,RM103,35.0
IDCCN01,RM104,408.0
IDCCN01,RM106,203.0
IDCCN01,RM107,21664.0
IDCCN01,RM108,203.0
IDCCN01,RM109,100597.0
IDCCN01,RM11,98701.0
IDCCN01,RM110,400.0
IDCCN01,RM111,203.0
IDCCN01,RM112,203.0
IDCCN01,RM113,431874.0
IDCCN01,RM114,345.0
IDCCN01,RM115,5110.0
IDCCN01,RM116,1077.0
IDCCN01,RM117,81.0
IDCCN01,RM118,70.0
IDCCN01,RM119,813.0
IDCCN01,RM12,774.0
