Location,SKU,Type,ServiceLevel,BaseStockLevel
CDC01,SKU001,FG,100.0,9402.0
CDC01,SKU002,FG,100.0,15247.0
CDC01,SKU003,FG,100.0,12299.0
CDC01,SKU004,FG,99.14,25901.0
CDC01,SKU005,FG,100.0,13740.0
CDC01,SKU006,FG,100.0,16200.0
CDC01,SKU008,FG,100.0,12435.0
CDC01,SKU009,FG,100.0,23167.0
CDC01,SKU010,FG,95.71,29347.0
CDC01,SKU011,FG,99.93,12313.0
CDC01,SKU012,FG,97.86,29717.0
CDC01,SKU013,FG,100.0,22061.0
CDC01,SKU014,FG,100.0,10877.0
CDC01,SKU015,FG,100.0,11977.0
CDC01,SKU016,FG,99.93,13624.0
CDC01,SKU017,FG,99.93,13413.0
CDC01,SKU018,FG,97.71,13829.0
CDC01,SKU019,FG,66.71,28718.0
CDC01,SKU020,FG,96.86,25122.0
CDC01,SKU021,FG,99.57,24798.0
CDC01,SKU022,FG,100.0,14116.0
CDC01,SKU023,FG,99.93,12274.0
CDC01,SKU024,FG,73.86,22349.0
CDC01,SKU025,FG,97.14,26961.0
CDC01,SKU026,FG,100.0,15078.0
CDC01,SKU027,FG,100.0,16874.0
CDC01,SKU028,FG,76.86,19103.0
CDC01,SKU029,FG,100.0,12416.0
CDC01,SKU030,FG,77.14,26633.0
CDC01,SKU031,FG,100.0,19020.0
CDC01,SKU032,FG,99.93,20127.0
CDC01,SKU033,FG,100.0,14430.0
CDC01,SKU034,FG,100.0,13050.0
CDC01,SKU035,FG,90.29,20848.0
CDC01,SKU036,FG,81.57,24114.0
CDC01,SKU037,FG,90.14,26787.0
CDC01,SKU038,FG,92.29,30713.0
CDC01,SKU039,FG,63.43,27983.0
CDC01,SKU040,FG,100.0,18096.0
CDC01,SKU041,FG,100.0,18565.0
CDC01,SKU042,FG,100.0,15460.0
CDC01,SKU043,FG,100.0,16904.0
CDC01,SKU044,FG,95.43,21339.0
CDC01,SKU045,FG,89.14,21618.0
CDC01,SKU047,FG,96.71,24869.0
CDC01,SKU048,FG,91.71,24975.0
CDC01,SKU050,FG,94.71,21261.0
CDC01,SKU051,FG,97.57,30662.0
CDC01,SKU052,FG,99.0,23142.0
CDC01,SKU053,FG,100.0,10311.0
CDC01,SKU054,FG,15.86,28545.0
CDC01,SKU055,FG,100.0,17457.0
CDC01,SKU056,FG,100.0,9907.0
CDC01,SKU057,FG,100.0,15579.0
CDC01,SKU058,FG,100.0,17276.0
CDC01,SKU059,FG,96.43,20009.0
CDC01,SKU060,FG,70.0,14926.0
CDC01,SKU061,FG,98.86,27737.0
CDC01,SKU062,FG,99.93,19559.0
CDC01,SKU063,FG,77.71,20225.0
CDC01,SKU064,FG,100.0,20093.0
CDC01,SKU065,FG,90.29,22571.0
CDC01,SKU067,FG,87.86,21091.0
CDC01,SKU068,FG,100.0,17914.0
CDC01,SKU069,FG,100.0,20688.0
CDC01,SKU070,FG,94.71,29879.0
CDC01,SKU071,FG,95.86,24024.0
CDC01,SKU072,FG,100.0,18715.0
CDC01,SKU073,FG,99.78,16734.0
CDC01,SKU074,FG,91.0,24612.0
CDC01,SKU075,FG,100.0,16069.0
CDC01,SKU076,FG,99.93,12570.0
CDC01,SKU077,FG,93.14,28300.0
CDC01,SKU078,FG,98.14,16741.0
CDC01,SKU079,FG,99.93,18403.0
CDC01,SKU080,FG,100.0,15520.0
CDC01,SKU081,FG,95.57,30130.0
CDC01,SKU082,FG,80.57,26748.0
CDC01,SKU083,FG,99.93,12185.0
CDC01,SKU084,FG,100.0,14877.0
CDC01,SKU085,FG,100.0,15255.0
CDC01,SKU086,FG,81.86,18996.0
CDC01,SKU087,FG,99.85,18904.0
CDC01,SKU088,FG,100.0,18428.0
CDC01,SKU089,FG,47.71,27678.0
CDC01,SKU090,FG,100.0,14532.0
CDC01,SKU091,FG,100.0,14641.0
CDC01,SKU092,FG,100.0,11487.0
CDC01,SKU093,FG,100.0,13877.0
CDC01,SKU094,FG,99.0,16282.0
CDC01,SKU095,FG,98.0,32574.0
CDC01,SKU096,FG,100.0,14181.0
CDC01,SKU097,FG,100.0,15283.0
CDC01,SKU098,FG,97.14,29743.0
CDC01,SKU099,FG,100.0,22121.0
CDC01,SKU100,FG,55.57,18826.0
CDC02,SKU001,FG,97.71,26677.0
CDC02,SKU002,FG,99.93,13182.0
CDC02,SKU003,FG,91.29,18090.0
CDC02,SKU005,FG,100.0,18440.0
CDC02,SKU006,FG,100.0,13917.0
CDC02,SKU007,FG,99.93,14630.0
CDC02,SKU008,FG,100.0,19644.0
CDC02,SKU009,FG,100.0,15018.0
CDC02,SKU010,FG,91.14,30334.0
CDC02,SKU012,FG,98.43,23984.0
CDC02,SKU013,FG,100.0,14141.0
CDC02,SKU014,FG,100.0,13586.0
CDC02,SKU015,FG,83.57,29088.0
CDC02,SKU016,FG,100.0,12364.0
CDC02,SKU017,FG,80.86,24146.0
CDC02,SKU018,FG,100.0,14011.0
CDC02,SKU019,FG,68.29,28553.0
CDC02,SKU020,FG,100.0,14866.0
CDC02,SKU021,FG,100.0,17972.0
CDC02,SKU022,FG,100.0,12953.0
CDC02,SKU023,FG,83.29,23559.0
CDC02,SKU024,FG,82.29,20806.0
CDC02,SKU025,FG,100.0,13353.0
CDC02,SKU026,FG,100.0,11956.0
CDC02,SKU027,FG,100.0,14723.0
CDC02,SKU028,FG,93.43,30889.0
CDC02,SKU030,FG,99.93,21656.0
CDC02,SKU031,FG,100.0,14071.0
CDC02,SKU032,FG,98.57,19975.0
CDC02,SKU033,FG,96.14,16517.0
CDC02,SKU034,FG,94.43,31043.0
CDC02,SKU035,FG,80.43,26263.0
CDC02,SKU036,FG,81.0,17310.0
CDC02,SKU037,FG,100.0,17661.0
CDC02,SKU038,FG,99.93,11482.0
CDC02,SKU039,FG,40.57,20586.0
CDC02,SKU040,FG,99.93,22108.0
CDC02,SKU042,FG,100.0,8381.0
CDC02,SKU043,FG,96.71,17279.0
CDC02,SKU044,FG,99.7,16444.0
CDC02,SKU045,FG,92.71,25669.0
CDC02,SKU046,FG,93.86,25993.0
CDC02,SKU048,FG,100.0,9839.0
CDC02,SKU049,FG,100.0,17483.0
CDC02,SKU051,FG,99.85,12648.0
CDC02,SKU052,FG,100.0,24289.0
CDC02,SKU053,FG,100.0,13818.0
CDC02,SKU054,FG,99.93,15855.0
CDC02,SKU056,FG,100.0,13563.0
CDC02,SKU057,FG,100.0,16476.0
CDC02,SKU058,FG,100.0,13634.0
CDC02,SKU059,FG,92.29,33191.0
CDC02,SKU060,FG,86.0,16370.0
CDC02,SKU061,FG,100.0,11458.0
